"County","FIPS","Year","Gender","Age Cohort","Variable","Measure Type","Value"
"Connecticut","09",2015,"All","Total","Projected Population","Number",3644545
"Connecticut","09",2015,"All","Total","Projected Population","Percent",100
"Connecticut","09",2015,"All","0 to 4 years","Projected Population","Number",191023
"Connecticut","09",2015,"All","0 to 4 years","Projected Population","Percent",5.24
"Connecticut","09",2015,"All","5 to 9 years","Projected Population","Number",203475
"Connecticut","09",2015,"All","5 to 9 years","Projected Population","Percent",5.58
"Connecticut","09",2015,"All","10 to 14 years","Projected Population","Number",229748
"Connecticut","09",2015,"All","10 to 14 years","Projected Population","Percent",6.3
"Connecticut","09",2015,"All","15 to 19 years","Projected Population","Number",267535
"Connecticut","09",2015,"All","15 to 19 years","Projected Population","Percent",7.34
"Connecticut","09",2015,"All","20 to 24 years","Projected Population","Number",237522
"Connecticut","09",2015,"All","20 to 24 years","Projected Population","Percent",6.52
"Connecticut","09",2015,"All","25 to 29 years","Projected Population","Number",194346
"Connecticut","09",2015,"All","25 to 29 years","Projected Population","Percent",5.33
"Connecticut","09",2015,"All","30 to 34 years","Projected Population","Number",225071
"Connecticut","09",2015,"All","30 to 34 years","Projected Population","Percent",6.18
"Connecticut","09",2015,"All","35 to 39 years","Projected Population","Number",218922
"Connecticut","09",2015,"All","35 to 39 years","Projected Population","Percent",6.01
"Connecticut","09",2015,"All","40 to 44 years","Projected Population","Number",231715
"Connecticut","09",2015,"All","40 to 44 years","Projected Population","Percent",6.36
"Connecticut","09",2015,"All","45 to 49 years","Projected Population","Number",265714
"Connecticut","09",2015,"All","45 to 49 years","Projected Population","Percent",7.29
"Connecticut","09",2015,"All","50 to 54 years","Projected Population","Number",289047
"Connecticut","09",2015,"All","50 to 54 years","Projected Population","Percent",7.93
"Connecticut","09",2015,"All","55 to 59 years","Projected Population","Number",278772
"Connecticut","09",2015,"All","55 to 59 years","Projected Population","Percent",7.65
"Connecticut","09",2015,"All","60 to 64 years","Projected Population","Number",229410
"Connecticut","09",2015,"All","60 to 64 years","Projected Population","Percent",6.29
